ID,node,species,genus,family,order,class,phylum,resolution,category,FunctionalGroup
1,CPOM,NA,NA,NA,NA,NA,NA,NA,CPOM,Detritus
2,FPOM,NA,NA,NA,NA,NA,NA,NA,FPOM,Detritus
3,DOM,NA,NA,NA,NA,NA,NA,NA,DOM,Detritus
4,Bacterioplankton,NA,NA,NA,NA,NA,NA,NA,microbial heterotroph,Baterioplankton
5,Pediastrum,NA,Pediastrum,Hydrodictyaceae ,Sphaeropleales ,Chlorophyceae ,Chlorophyta,genus,"
autotrophic phytoplankton",Basal
6,Chlorella,NA,Chlorella,Chlorellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,genus,"
autotrophic phytoplankton",Basal
7,Scenedesmus,NA,Scenedesmus,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,genus,"
autotrophic phytoplankton",Basal
8,Coelastrum,NA,Coelastrum,Scenedesmaceae,Sphaeropleales,Chlorophyceae ,Chlorophyta,genus,"
autotrophic phytoplankton",Basal
9,Closterium,NA,Closterium,Closteriaceae,Desmidiales,Zygnematophyceae,Charophyta,genus,"
autotrophic phytoplankton",Basal
10,Mougeotia,NA,Mougeotia,Zygnemataceae,Zygnematales,Zygnematophyceae,Charophyta,genus,"
autotrophic phytoplankton",Basal
11,Cosmarium,NA,Cosmarium,Zygnemataceae,Desmidiales,Zygnematophyceae,Charophyta,genus,"
autotrophic phytoplankton",Basal
12,Dyctiosphaerium,NA,Dyctiosphaerium,Chlorellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,genus,"
autotrophic phytoplankton",Basal
13,Staurastrum,NA,Staurastrum,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,genus,"
autotrophic phytoplankton",Basal
14,Eudorina,NA,Eudorina,Volvocaceae,Chlamydomonadales,Chlorophyceae ,Chlorophyta,genus,"
autotrophic phytoplankton",Basal
15,Tetrastrum,NA,Tetrastrum,Scenedesmaceae,Sphaeropleales,Chlorophyceae ,Chlorophyta,genus,"
autotrophic phytoplankton",Basal
16,Schroederia,NA,Schroederia,Schroederiaceae,Sphaeropleales,Chlorophyceae ,Chlorophyta,genus,"
autotrophic phytoplankton",Basal
17,Tetraedron,NA,Tetraedron,Hydrodictyaceae ,Sphaeropleales ,Chlorophyceae ,Chlorophyta,genus,"
autotrophic phytoplankton",Basal
18,Sphaerocystis,NA,Sphaerocystis,Sphaerocystidaceae,Chlamydomonadales,Chlorophyceae ,Chlorophyta,genus,"
autotrophic phytoplankton",Basal
19,Staurodesmus,NA,Staurodesmus,Desmidiaceae,Desmidiales,Zygnematophyceae,Chlorophyta,genus,"
autotrophic phytoplankton",Basal
20,Ankyra,NA,Ankyra,Characiaceae ,Sphaeropleales ,Chlorophyceae ,Chlorophyta,genus,"
autotrophic phytoplankton",Basal
21,Crucigenia,NA,Crucigenia,Scenedesmaceae,Chlorococcales,Trebouxiophyceae,Chlorophyta,genus,"
autotrophic phytoplankton",Basal
22,Phacus,NA,Phacus,Phacaceae,Euglenida,Euglenophyceae,Euglenophyta,genus,mixotrophic phytoplankton,Basal
23,Euglena,NA,Euglena,Phacaceae,Euglenida,Euglenophyceae,Euglenophyta,genus,mixotrophic phytoplankton,Basal
24,Trachelomonas,NA,Trachelomonas,Euglenidae,Euglenida,Euglenophyceae,Euglenophyta,genus,mixotrophic phytoplankton,Basal
25,Strombomonas,NA,Strombomonas,Euglenidae,Euglenida,Euglenophyceae,Euglenophyta,genus,mixotrophic phytoplankton,Basal
26,Lepocinclis,NA,Lepocinclis,Phacaceae,Euglenida,Euglenophyceae,Euglenophyta,genus,mixotrophic phytoplankton,Basal
27,Colacium,NA,Colacium,Euglenaceae,Euglenida,Euglenophyceae,Euglenophyta,genus,mixotrophic phytoplankton,Basal
28,Navícula,NA,Navicula,Naviculaceae,Naviculales,Bacillariophyceae,Bacillariophyta,genus,facultative mixotrophic phytoplankton,Basal
29,Gomphonema,NA,Gomphonema,Gomphonemataceae,Cymbellales,Bacillariophyceae,Bacillariophyta,genus,facultative mixotrophic phytoplankton,Basal
