consumer,resource
Bacterioplankton,DOM
Phacus,DOM
Euglena,DOM
Trachelomonas,DOM
Strombomonas,DOM
Lepocinclis,DOM
Colacium,DOM
Navícula,DOM
Gomphonema,DOM
Amphipleura,DOM
Fragilaria,DOM
Nitzschia,DOM
Sellaphora,DOM
Pinnularia,DOM
Aulacoseira,DOM
Reimeria,DOM
Cymbella,DOM
Gomphoneis,DOM
Hantzschia,DOM
Geissleria,DOM
Surirella,DOM
Diatoma,DOM
Cyclotella,DOM
Caloneis,DOM
Gyrosigma,DOM
Diploneis,DOM
Ceratium,DOM
Gymnodinium,DOM
Copepod,FPOM
Copepod,Bacterioplankton
Copepod,Pediastrum
Copepod,Chlorella
Copepod,Scenedesmus
Copepod,Coelastrum
Copepod,Closterium
Copepod,Mougeotia
Copepod,Cosmarium
Copepod,Dyctiosphaerium
Copepod,Staurastrum
Copepod,Eudorina
Copepod,Tetrastrum
Copepod,Schroederia
Copepod,Tetraedron
Copepod,Sphaerocystis
Copepod,Staurodesmus
Copepod,Ankyra
Copepod,Crucigenia
Copepod,Phacus
Copepod,Euglena
Copepod,Trachelomonas
Copepod,Strombomonas
Copepod,Lepocinclis
Copepod,Colacium
Copepod,Navícula
Copepod,Gomphonema
Copepod,Amphipleura
Copepod,Fragilaria
Copepod,Nitzschia
Copepod,Sellaphora
Copepod,Pinnularia
Copepod,Aulacoseira
Copepod,Reimeria
Copepod,Cymbella
Copepod,Gomphoneis
Copepod,Hantzschia
Copepod,Geissleria
Copepod,Surirella
Copepod,Diatoma
Copepod,Cyclotella
Copepod,Caloneis
Copepod,Gyrosigma
Copepod,Diploneis
Copepod,Ceratium
Copepod,Gymnodinium
Copepod,Spirulina
Copepod,Merismopedia
Copepod,Aphanocapsa
Copepod,Chroocuccus
Copepod,Dolichospermum
Copepod,Pseudoanabaena
Copepod,Microcystis
Copepod,Periphyton
Hirudinea,Copepod
Hirudinea,Oligochaeta
Hirudinea,Chironomidae
Hirudinea,Hyalellidae
Oligochaeta,FPOM
Ampullariidae,CPOM
Ampullariidae,FPOM
Ampullariidae,Periphyton
Ampullariidae,Mougeotia
Ampullariidae,Fragilaria
Ampullariidae,Aulacoseira
Ampullariidae,Diatoma
Ampullariidae,Spirulina
Ampullariidae,Dolichospermum
Ampullariidae,Pseudoanabaena
Sphaeriidae,FPOM
Sphaeriidae,Bacterioplankton
Sphaeriidae,Pediastrum
Sphaeriidae,Chlorella
Sphaeriidae,Scenedesmus
Sphaeriidae,Coelastrum
Sphaeriidae,Closterium
Sphaeriidae,Mougeotia
Sphaeriidae,Cosmarium
Sphaeriidae,Dyctiosphaerium
Sphaeriidae,Staurastrum
Sphaeriidae,Eudorina
Sphaeriidae,Tetrastrum
Sphaeriidae,Schroederia
Sphaeriidae,Tetraedron
Sphaeriidae,Sphaerocystis
Sphaeriidae,Staurodesmus
Sphaeriidae,Ankyra
Sphaeriidae,Crucigenia
Sphaeriidae,Phacus
Sphaeriidae,Euglena
Sphaeriidae,Trachelomonas
Sphaeriidae,Strombomonas
Sphaeriidae,Lepocinclis
Sphaeriidae,Colacium
Sphaeriidae,Navícula
Sphaeriidae,Gomphonema
Sphaeriidae,Amphipleura
Sphaeriidae,Fragilaria
Sphaeriidae,Nitzschia
Sphaeriidae,Sellaphora
Sphaeriidae,Pinnularia
Sphaeriidae,Aulacoseira
Sphaeriidae,Reimeria
Sphaeriidae,Cymbella
Sphaeriidae,Gomphoneis
Sphaeriidae,Hantzschia
Sphaeriidae,Geissleria
Sphaeriidae,Surirella
Sphaeriidae,Diatoma
Sphaeriidae,Cyclotella
Sphaeriidae,Caloneis
Sphaeriidae,Gyrosigma
Sphaeriidae,Diploneis
Sphaeriidae,Ceratium
Sphaeriidae,Gymnodinium
Sphaeriidae,Spirulina
Sphaeriidae,Merismopedia
Sphaeriidae,Aphanocapsa
Sphaeriidae,Chroocuccus
Sphaeriidae,Dolichospermum
Sphaeriidae,Pseudoanabaena
Sphaeriidae,Microcystis
Cochliopidae,Periphyton
Cochliopidae,Pediastrum
Cochliopidae,Chlorella
Cochliopidae,Scenedesmus
Cochliopidae,Coelastrum
Cochliopidae,Closterium
Cochliopidae,Mougeotia
Cochliopidae,Cosmarium
Cochliopidae,Dyctiosphaerium
Cochliopidae,Staurastrum
Cochliopidae,Eudorina
Cochliopidae,Tetrastrum
Cochliopidae,Schroederia
Cochliopidae,Tetraedron
